Investigator,Slot,Mean
Wendy Adams,Tarot,0.06944330569595214
"Parallel ""Ashcan"" Pete",Accessory,0.8777448859991208
"Parallel ""Ashcan"" Pete",Ally,1.3198869059375828
"Parallel ""Ashcan"" Pete",Arcane,0.5080192839173632
"Parallel ""Ashcan"" Pete",Body,0.49851986996043984
"Parallel ""Ashcan"" Pete",Hand,3.9056244941503286
"Parallel ""Ashcan"" Pete",Tarot,0.07833693801494494
Monterey Jack,Accessory,1.1916022916849056
Monterey Jack,Ally,2.1494927978446774
Monterey Jack,Arcane,0.43061091194613205
Monterey Jack,Body,0.7110492373564864
Monterey Jack,Hand,4.399763054729866
Monterey Jack,Tarot,0.11267362166044427
Joe Diamond,Accessory,1.2104972614285343
Joe Diamond,Ally,3.056508703886534
Joe Diamond,Arcane,0.8155299961342103
Joe Diamond,Body,0.8930468595920319
Joe Diamond,Hand,8.604315084769453
Joe Diamond,Tarot,0.12887696513999217
"Parallel ""Skids"" O'Toole",Accessory,1.3394107599009881
"Parallel ""Skids"" O'Toole",Ally,1.4472967371069367
"Parallel ""Skids"" O'Toole",Arcane,0.14166504460130194
"Parallel ""Skids"" O'Toole",Body,0.7189783883330131
"Parallel ""Skids"" O'Toole",Hand,3.010382927953075
"Parallel ""Skids"" O'Toole",Tarot,0.12302664269681467
Lucius Galloway,Accessory,1.2222222222222223
Lucius Galloway,Ally,2.5
Lucius Galloway,Arcane,0.44444444444444453
Lucius Galloway,Body,0.6666666666666667
Lucius Galloway,Hand,4.333333333333334
Lucius Galloway,Tarot,0.055555555555555566
Roland Banks,Accessory,1.0391442797199715
Roland Banks,Ally,2.8886856693422662
Roland Banks,Arcane,0.5804196169961603
Roland Banks,Body,0.7414742895548094
Roland Banks,Hand,6.640137432863426
Roland Banks,Tarot,0.1378151469846076
Harvey Walters,Accessory,1.03071445651815
Harvey Walters,Ally,3.468047424122128
Harvey Walters,Arcane,1.6968471620881278
Harvey Walters,Body,0.3726559265641939
Harvey Walters,Hand,4.955544405924402
Harvey Walters,Tarot,0.08609317804312168
Parallel Zoey Samaras,Accessory,3.1402956497993197
Parallel Zoey Samaras,Ally,2.2415215709752387
Parallel Zoey Samaras,Arcane,1.2519922464812399
Parallel Zoey Samaras,Body,0.7929279356978131
Parallel Zoey Samaras,Hand,4.575852820408606
Parallel Zoey Samaras,Tarot,0.1355645909293789
Leo Anderson,Accessory,1.3233821409347708
Leo Anderson,Ally,6.434628653917754
Leo Anderson,Arcane,0.4679080522066937
Leo Anderson,Body,0.8401054034189429
Leo Anderson,Hand,4.736173225598377
Leo Anderson,Tarot,0.18339524766165563
