Investigator,Pack,Card_Code,Card,Index,Score,Mean,Slot,Faction,Decks,Recent Decks
Roland Banks,11-tmm,02105,Emergency Aid,2,0.34217182500568427,0.017923750306664703,,Guardian,44.48096262969135,28.800012881815476
Roland Banks,30-tfa,04019,Trusted,2,0.34035870625941034,0.01718299997661346,,Guardian,44.30288365884679,28.800012881815476
Roland Banks,52-tsh,06159,Dream-Enhancing Serum,2,0.340122872992641,0.014051311165963011,Arcane,Seeker,42.74197271764021,28.800012881815476
Roland Banks,30-tfa,04023,Tooth of Eztli: Mortal Reminder,2,0.3383417062083823,0.016063794082111338,Accessory,Seeker,44.30288365884679,28.800012881815476
Roland Banks,21-eotp,03118,Reckless Assault,1,0.3337607622573841,0.015212337368516664,,Neutral,44.40855028397331,28.800012881815476
Roland Banks,50-tde,06023,Astounding Revelation,2,0.3336409206809505,0.015521047364647328,,Seeker,42.99861244289632,28.800012881815476
Roland Banks,20-ptc,03023,Ever Vigilant (1),1,0.3325143837435236,0.013514531422275102,,Guardian,44.43962870312817,28.800012881815476
Roland Banks,80-eoep,08126,Heavy Furs,2,0.32876225193711117,0.008339781973008482,Body,Neutral,36.006981983847446,28.800012881815476
Roland Banks,50-tde,06023,Astounding Revelation,3,0.3287251851481259,0.014526287647703218,,Seeker,42.99861244289632,28.800012881815476
Roland Banks,80-eoep,08059,Down the Rabbit Hole,1,0.3270981957403942,0.008339781973008482,,Mystic,36.006981983847446,28.800012881815476
Roland Banks,80-eoep,08032,Jeremiah Kirby: Arctic Archaeologist,1,0.3270981957403942,0.008339781973008482,Ally,Seeker,36.006981983847446,28.800012881815476
Roland Banks,15-wda,02260,Leadership,1,0.3268852791782575,0.013954064259288234,,Guardian,44.455089484819744,28.800012881815476
Roland Banks,80-eoep,08127,Sled Dog,1,0.3267486214779777,0.008339781973008482,Ally,Neutral,36.006981983847446,28.800012881815476
Roland Banks,80-eoep,08127,Sled Dog,2,0.3267486214779777,0.008339781973008482,Ally,Neutral,36.006981983847446,28.800012881815476
Roland Banks,80-eoep,08127,Sled Dog,3,0.3267486214779777,0.008339781973008482,Ally,Neutral,36.006981983847446,28.800012881815476
Roland Banks,80-eoep,08127,Sled Dog,4,0.3267486214779777,0.008339781973008482,Ally,Neutral,36.006981983847446,28.800012881815476
Roland Banks,22-tuo,03158,Calling in Favors,1,0.3174251884743579,0.014011055806521922,,Neutral,44.40109146337615,28.800012881815476
Roland Banks,70-tic,07020,Hand of Fate,1,0.3168548980539365,0.011256506658975231,,Guardian,39.327127530814835,28.800012881815476
Roland Banks,70-tic,07019,Rite of Sanctification,1,0.3165683686120652,0.011256506658975231,Arcane,Guardian,39.327127530814835,28.800012881815476
Roland Banks,70-tic,07019,Rite of Sanctification,2,0.3165683686120652,0.011256506658975231,Arcane,Guardian,39.327127530814835,28.800012881815476
Roland Banks,32-tbb,04153,True Understanding,1,0.3121292334876083,0.01230517692607623,,Seeker,44.09054148643178,28.800012881815476
Roland Banks,60-nat,60112,Counterpunch,2,0.30890371045234916,0.009776162514054111,,Guardian,42.01482682941456,28.800012881815476
Roland Banks,00-core,01038,Barricade,1,0.3084655867073141,0.013357112731108612,,Seeker,44.49398751695379,28.800012881815476
Roland Banks,22-tuo,03158,Calling in Favors,2,0.3082798515842613,0.01229096587393042,,Neutral,44.40109146337615,28.800012881815476
Roland Banks,22-tuo,03149,"Charles Ross, Esq.: Acquisitions and Solicitation",1,0.30747798702891616,0.012179464478051847,Ally,Seeker,44.40109146337615,28.800012881815476
Roland Banks,10-dwl,02023,Seeking Answers,1,0.3026016194285585,0.010728764249897209,,Seeker,44.49105946671442,28.800012881815476
Roland Banks,10-dwl,02017,Taunt,2,0.3000276929294544,0.010685508317980704,,Guardian,44.49105946671442,28.800012881815476
Roland Banks,22-tuo,03149,"Charles Ross, Esq.: Acquisitions and Solicitation",2,0.2993620544539369,0.01061477838569541,Ally,Seeker,44.40109146337615,28.800012881815476
Roland Banks,32-tbb,04153,True Understanding,2,0.29818204614560134,0.009864922824997518,,Seeker,44.09054148643178,28.800012881815476
Roland Banks,60-har,60209,Feed the Mind,1,0.29538745301582076,0.008023552714640204,Arcane,Seeker,42.01482682941456,28.800012881815476
